Code Name,Code Definition,
Sparse Data Sensitivity,"data-centric limitation occurring at the inference or execution stage where the provided individual input data—despite being valid and in-domain—is too brief, fragmentary, or lacks sufficient contextual depth for the model to extract meaningful signals or perform accurate reasoning.",
High Time Consumption,"Describes processes that require excessive duration for training, processing, or inference (latency), making the method unsuitable for some applications.",
High Resource Requirements,"Refers to the requirement for significant processing power, high-performance hardware (e.g., A100 GPUs, TPU pods), or excessive usage of memory (RAM, VRAM, or disk storage), which may prevent the model from being deployed on consumer-grade hardware or edge devices.",
High Financial Cost,"Refers to prohibitive monetary expenses required to replicate or use the method, such as cloud computing fees, proprietary API costs, or paid datasets.",
Performance Trade-off,"Highlights scenarios where an improvement in one metric (e.g., efficiency, speed) results in a direct and unavoidable degradation of another metric (e.g., accuracy, quality).",
Environmental Impact,"The real-world ecological consequences, such as carbon emissions and energy consumption, caused by the computational overhead of training or running large models.",
Resource Accessibility Barriers,"A systemic and infrastructural barrier where the broader community is restricted from accessing essential underlying materials due to proprietary data dependencies, closed-source models, copyright constraints, or financial obstacles (e.g., paywalled APIs), hindering the ability to build upon or extend the research.",
Real-World Deployment Barrier,"An ecological validity and operational barrier where the fundamental assumptions, experimental setups, or structured workflows fail to represent the unstructured complexity, noise, and actual user behaviors present in live environments, rendering the method impractical for real-world deployment even if benchmark performance is high. Includes: evaluation datasets or synthetic data failing to faithfully capture the true distribution of live environments.",
Scalability Bottleneck,"An algorithmic and architectural limitation where the method experiences severe performance degradation, computational intractability, or exponential resource demands specifically as input lengths, dataset sizes, or model parameters grow. Includes static architectural constraints such as context window limitations or maximum input token lengths, which act as a hard ceiling for processing long-form data.",
Data Scarcity,"Refers to the overall lack of sufficient data quantity, highlighting situations where there is very little data available or the data belongs to a niche domain, such as low-resource languages or tasks requiring rare examples. Includes: data collection attrition caused by low participant response rates or missing data.",
Dataset Bias/Imbalance,"Acknowledges that the researchers did not have or collect enough data for certain groups, leading to a skewed data distribution, class imbalances, or misrepresentations that contain social/demographic biases (e.g., gender, race).",
Low Data Quality,"Refers to low-quality data containing inaccuracies, typographical errors, wrong labels, formatting issues, or irrelevant content (""garbage"") that confuses the model. Includes: dataset incompleteness, missing annotations or metadata, structural heterogeneity, lack of diversity, and the limitations of relying on unrepresentative synthetic or simulated data Includes: coarse labeling constraints lacking fine-grained granularity, inherent data ambiguity where categories lack clear semantic definitions, artifacts and semantic loss introduced by relying on machine translation",
Data Leakage/Contamination,"Mentions the risk of evaluation data (test set) being inadvertently included or ""seen"" during the training phase, leading to invalid or inflated results.",
Dataset Task Mismatch,"A data-centric limitation where the available datasets used for training, fine-tuning, or evaluation do not structurally, semantically, or stylistically align with the target downstream task, specific domain, or intended real-world application.available resources",
Reliance on External Tools or Resources,"Refers to the method's dependency on third-party software, APIs, parsers, or other models to function, which introduces risks of failure if those tools change or go offline. Includes: structural bottlenecks where performance is constrained by the limited coverage or availability of external knowledge bases.",
Dependency on Upstream Quality,"States that the method's performance is strictly bottlenecked by the quality of the underlying base model or preprocessing steps (errors flow downstream). Includes: structural domain mismatches between pre-training and downstream data, inheriting stylistic, structural, or content biases from upstream source data or simulators, and strict dependency on the characteristics of specific source data.",
Human Labor and Annotation Bottleneck,"A severe operational constraint where the method relies on heavy, non-scalable manual labor, domain expertise, or human intervention, or suffers from a scarcity, cognitive overload, or lack of quality control of human annotators.",
Lack of Interpretability,"Refers to the difficulty in understanding the internal decision-making logic of the model, often described as the ""Black Box"" problem.",
Model Hallucination/Incoherence,"Refers to the generation of output that is factually false, logically nonsensical, repetitive, or fluent but incorrect (common in LLMs).",
Potential for Misuse,"Emphasizes the ethical risks where the technology could be exploited for malicious purposes, fraud, disinformation, or harmful content generation.",
Privacy and Security Risks,"An ethical and security vulnerability where the system or dataset could inadvertently expose sensitive personal information, user feedback, or be susceptible to adversarial attacks. Includes: vulnerabilities in watermarks, defense mechanisms, paraphrasing attacks, or countermeasures.",
Bias and Fairness Risks,"An ethical and socio-technical vulnerability where the system or dataset inherits, reproduces, or amplifies historical prejudices, cultural stereotypes, or exhibits structural disparities in performance across different demographic groups.",
Toxicity Risks,"A behavioral and content-safety vulnerability where the system could inadvertently generate or be provoked into producing abusive language, hate speech, or other violent, offensive, and inappropriate content.",
Societal and Ethical Risks ,"The unintended real-world harms caused by the deployment of a technology, including legal and liability risks, negative downstream societal impacts, automation bias, deceptive persuasion, and ethical or labor concerns regarding the exploitation of human annotators.",
Non-Limitation: Method Details,Refers to factual descriptions of the proposed method which are typically stated to explain the root cause of a specific limitation.,
Non-Limitation: Method Strength,"Highlights the theoretical, structural, or conceptual advantages of the proposed approach, distinct from empirical performance.",
Non-Limitation: Strong Reported Performance,"Refers to statements explicitly highlighting the model's empirical success, effectiveness, or superior benchmark results.",
Non-Limitation: Anticipated Impact,"Expresses the authors' hopes, expectations, or the broader potential influence that their findings might have on the research community or industry.",
Non-Limitation: Contextual Justification,"Refers to explanations that provide external background, common field practices, or real-world constraints to defend and justify a limitation.",
Non-Limitation: Conducted Mitigation,"Describes proactive steps, alternative methods, or workarounds that the researchers have already implemented within the study to alleviate a limitation. Includes: failed mitigation attempts.",
Non-Limitation: Future Work,"Suggests potential improvements or delegates specific unaddressed features, unanswered questions, or planned extensions to be explored in subsequent studies. Includes: theoretical mitigations proposed by the authors.",
Non-Limitation: Recommendations,"Outward-facing directives advising the broader research or practitioner community to adopt specific operational practices, metrics, strategies, or to contribute to specific research directions.",
Non-Limitation: Theoretical Projection,"Optimistic or theoretical guesses, as well as explicit uncertainties, regarding how a method might perform in untested scenarios, unseen domains, or with future parameter and scale adjustments.",
Non-Limitation: Authorial Disclaimers,"Explicit epistemic boundaries and warnings drawn by authors to prevent readers from overclaiming, misinterpreting, or prematurely deploying the empirical results in real-world or high-stakes applications.",
